Locality,MinPrice,MaxPrice,AvgRent,HouseType
Harlur,8000,25000,17750,2BHK
Banashankari,4800,40000,9395.92,1BHK
Banashankari,7000,25000,13393.24,2BHK
Banashankari,12000,53000,22531.25,3BHK
Murugeshpalya,6000,18000,10385.54,1BHK
Murugeshpalya,9000,22000,15757.58,2BHK
Murugeshpalya,19000,35000,24000,3BHK
RR Nagar,3000,12000,8276.32,1BHK
RR Nagar,10000,30000,16835.71,2BHK
RR Nagar,15000,35000,24258.33,3BHK
Banaswadi,7000,15000,10544.44,1BHK
Banaswadi,10000,28000,17777.78,2BHK
Banaswadi,18000,35000,26700,3BHK
Narayanapura on Hennur Main Road,15000,35000,24284.48,2BHK
Narayanapura on Hennur Main Road,18500,50000,30867.92,3BHK
Vidyaranyapura,3500,16000,7333.33,1BHK
Vidyaranyapura,6200,16000,10980,2BHK
Vidyaranyapura,16000,27000,19666.67,3BHK
Battarahalli,4500,11000,735.71,1BHK
Battarahalli,6000,18000,12954.55,2BHK
Battarahalli,18000,35000,22142.86,3BHK
Jayanagar,5000,13000,8275,1BHK
Jayanagar,12000,32000,20119.05,2BHK
Jayanagar,20000,27000,23000,3BHK
CV Raman Nagar,5000,16000,10619.05,1BHK
CV Raman Nagar,10000,20000,15400,2BHK
Bommanahalli,4450,13500,9807.64,1BHK
Bommanahalli,8500,20000,15219.04,2BHK
Talaghattapura,9500,13000,11250,2BHK
Talaghattapura,18000,20000,19000,3BHK
Sarjapur Road Post Railway Crossing,18500,32000,24125,1BHK
Sarjapur Road Post Railway Crossing,50000,75000,62500,3BHK
Kannur on Thanisandra Main Road,13100,35000,2250.98,2BHK
Kannur on Thanisandra Main Road,17000,1.2 L,33947.54,3BHK
Kumbalgodu,13000,35000,19575,3BHK
Hennur,4000,13600,10215.38,1BHK
Hennur,10000,25000,14040,2BHK
Hennur,16000,27000,21000,3BHK
Kasavanahalli,4000,19000,14296.3,1BHK
Kasavanahalli,13500,21500,17557.14,2BHK
Kasavanahalli,30000,33500,31750,3BHK
Kalyan Nagar,4000,15000,8866.67,1BHK
Kalyan Nagar,14000,25000,19288.46,2BHK
Kalyan Nagar,21000,50000,36884.62,3BHK
Dasarahalli on Tumkur Road,20000,30000,25550,3BHK
Bagaluru Near Yelahanka,25000,30000,27500,3BHK
Nagarbhavi,6000,8000,7000,1BHK
Nagarbhavi,7000,20000,12375,2BHK
Nagarbhavi,15000,30000,26142.86,3BHK
Brookefield,7000,21000,14145.45,1BHK
Brookefield,13000,30000,20476.19,2BHK
Brookefield,24000,45000,34333.33,3BHK
Hoskote,5500,6500,6075,1BHK
Hoskote,15000,21000,18000,3BHK
JP Nagar Phase 7,13000,18500,16100,2BHK
JP Nagar Phase 7,16000,48000,34362.5,3BHK
Hosa Road,9500,20000,13833.33,1BHK
Hosa Road,15000,38000,25347.83,3BHK
Hulimavu,6000,27000,10300,1BHK
Hulimavu,11000,17800,14810,2BHK
Hulimavu,17000,24000,20333.33,3BHK
Gottigere,6500,15000,1062.38,1BHK
Gottigere,8000,18000,11600,2BHK
Gottigere,13000,40000,20800,3BHK
Jigani,6000,9500,7700,1BHK
Jigani,8200,14000,10775,2BHK
Dasarahalli on Tumkur Road,22500,45000,26611.11,3BHK
Kaggadasapura,5000,14000,8278.22,1BHK
Kaggadasapura,10000,29000,16203.21,2BHK
JP Nagar Phase 7,8000,10000,9000,1BHK
JP Nagar Phase 7,13000,18500,16100,2BHK
JP Nagar Phase 7,16000,45000,34520.63,3BHK
Jalahalli,10000,13000,11000,2BHK
Vijayanagar,4500,13000,876.32,1BHK
Vijayanagar,8750,30000,16410.71,2BHK
Vijayanagar,5200,50000,26450,3BHK
Hoskote,5800,6500,6150,1BHK
Hoskote,10000,21000,15333.33,3BHK
Bommanahalli,6000,13500,8718.75,1BHK
Bommanahalli,8500,20000,14916.67,2BHK
Bommanahalli,20000,22000,21000,3BHK
Kodigehalli,9000,11000,10000,1BHK
Chikkanayakanahalli at Off Sarjapur,10000,70000,24111.11,2BHK
Chikkanayakanahalli at Off Sarjapur,22000,35000,2633.33,3BHK
Yeshwantpur,3500,40000,9454.55,1BHK
Yeshwantpur,11000,20000,15500,2BHK
Yeshwantpur,18000,50000,34400,3BHK
Kengeri,4000,8000,5500,1BHK
Kengeri,12500,30000,19964.29,3BHK
Hulimavu,6000,27000,1062.5,1BHK
Hulimavu,11000,22000,16928.57,2BHK
Hulimavu,17000,24000,20333.33,3BHK
Konanakunte,4000,9000,6575,1BHK
Konanakunte,10000,18000,13775,2BHK
Sarjapur Road Wipro To Railway Crossing,13500,23000,18833.33,1BHK
Sarjapur Road Wipro To Railway Crossing,20000,45000,30867.65,3BHK
Kadugodi,3000,11000,7470.77,1BHK
Kadugodi,10120,12500,11540,2BHK
Kadugodi,13500,50000,27800,3BHK
Kengeri Satellite Town,3000,8000,5270.83,1BHK
Kengeri Satellite Town,7000,15000,10722.22,2BHK
Kengeri Satellite Town,13000,22000,13613.64,3BHK
New Thippasandra,6000,20000,14682.93,1BHK
New Thippasandra,10000,26000,17794.12,2BHK
Kogilu,7000,8500,7750,1BHK
Kogilu,10500,16000,13833.33,2BHK
Kogilu,15500,35000,25166.67,3BHK
Kuvempu Layout on Hennur Main Road,22000,48000,29125,3BHK
Kasturi Nagar,4499,12750,9621.29,1BHK
Kasturi Nagar,11000,24000,18235.29,2BHK
Kasturi Nagar,20000,65000,33142.86,3BHK
Singasandra,5300,15000,9514.29,1BHK
Singasandra,12000,17500,14113.64,2BHK
Singasandra,17500,45000,24980,3BHK
Yelahanka New Town,5000,8500,6618,1BHK
Yelahanka New Town,8500,18000,11950,2BHK
Kanakapura Road Beyond Nice Ring Road,10000,11000,10500,1BHK
Kanakapura Road Beyond Nice Ring Road,8000,22000,16000,2BHK
Kanakapura Road Beyond Nice Ring Road,12500,28000,20653.85,3BHK
Richmond Town,10000,38000,27666.67,2BHK
Richmond Town,58000,70000,64000,3BHK
Kanakapura,25000,38000,30250,3BHK
ITPL,10500,13500,12000,1BHK
ITPL,14000,40000,22826.49,2BHK
ITPL,20000,75000,40469.39,3BHK
Domlur Layout,2500,20000,12246,1BHK
Domlur Layout,14000,25750,21671.05,2BHK
Domlur Layout,45000,48000,46000,3BHK
Frazer Town,15000,1.3 L,38142.86,2BHK
Frazer Town,40000,45000,41666.67,3BHK
Volagerekallahalli,11000,14000,12500,2BHK
Chikkagubbi on Hennur Main Road,20000,25000,22125,2BHK
Chikkagubbi on Hennur Main Road,23000,32000,27379.34,3BHK
Hoodi,6500,15000,8443.75,1BHK
Hoodi,8500,18000,13550,2BHK
Hoodi,23000,40000,30782.65,3BHK
Bilekahalli,5000,13750,8495.45,1BHK
Bilekahalli,10000,28000,15371.43,2BHK
Bilekahalli,25000,40000,32500,3BHK
Sadduguntepalya,8000,17700,9911.11,1BHK
Sadduguntepalya,10000,17500,15312.5,2BHK
Sahakar Nagar,27000,1.1 L,44411.11,3BHK
Kumaraswamy Layout,5000,12500,8773.08,1BHK
Kumaraswamy Layout,9500,38000,15538.46,2BHK
Kumaraswamy Layout,13000,19000,16666.67,3BHK
BTM Layout 2nd Stage,5000,17000,9685.71,1BHK
BTM Layout 2nd Stage,14500,23000,18714.29,2BHK
BTM Layout 2nd Stage,23000,50000,32400.2,3BHK
Medahalli,5500,9000,7222.22,1BHK
Medahalli,9500,15000,11428.57,2BHK
HBR Layout,6500,15000,11179.93,1BHK
HBR Layout,10000,24000,16884.62,2BHK
HBR Layout,20000,24000,21500,3BHK
Basavanagudi,2800,20000,9525,1BHK
Basavanagudi,8000,28000,16333.33,2BHK
Basavanagudi,22000,40000,32000,3BHK
Basaveswarnagar,7000,20000,10100,1BHK
Basaveswarnagar,10000,24000,18491,2BHK
Basaveswarnagar,16000,38000,26428.57,3BHK
Uttarahalli Hobli,4300,7200,5750,1BHK
Uttarahalli Hobli,11000,22000,14800,2BHK
Uttarahalli Hobli,18000,32000,25000,3BHK
Electronic City Phase II,2000,8500,683.33,1BHK
Munnekollal,5500,15000,8135,1BHK
Munnekollal,8500,18000,13538.46,2BHK
Kudlu,8000,10500,9500,1BHK
Kudlu,9500,18000,14125,2BHK
Kalkere,7000,7500,7250,1BHK
Kalkere,9500,17000,13500,2BHK
Ejipura,7000,11000,8285.71,1BHK
Ejipura,10000,28000,17555.56,2BHK
Ejipura,50000,52000,51000,3BHK
Ulsoor,5000,15000,10200,1BHK
Ulsoor,12000,35000,19166.67,2BHK
Ulsoor,25000,40000,32500,3BHK
bidrahalli,7500,8000,7750,1BHK
bidrahalli,9000,12000,10000,2BHK
byatarayanapura,15000,28000,19875,2BHK
byatarayanapura,30000,60000,45000,3BHK
NRI Layout,6000,8500,6640,1BHK
NRI Layout,11000,33000,16312.5,2BHK
JP Nagar Phase 8,16500,25000,20214.29,3BHK
Malur,10000,13900,11950,2BHK
Kartik Nagar,7000,12000,9416.67,1BHK
